X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; hiérarchie bn:00044017n ; définition bn:00025928n ; langage bn:00049910n ; mise bn:00016287n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; postgresql bn:01709156n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; timestamp bn:03603649n ; easyphp bn:14837849n ; pouvoir bn:00084451v ; impossible bn:00104687a ; public bn:00109211a ; en-tête bn:00043309n ; client bn:00019764n ; java bn:00048043n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; classe bn:03608262n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; informatique bn:00100175a
client bn:00019764n ; 0.0909091 ; 0.266667 ; 0.0909091 ; 0.0333333 ; 0.205128 ; 0.0733945 ; 0.0909091 ; 0.205128 ; 0.205128 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.057971 ; 0.126984 ; 0.0454545 ; 0.0740741 ; 0.142857 ; 0.142857 ; 0.123077 ; 0.123077 ; 0.125 ; 0.142857 ; 0.2 ; 0.0930233 ; 0.111111 ; 0.123077 ; 0.0909091 ; 0.0588235 ; 0.0769231 ; 0.205128 ; 0.142857 ; 0.0733945 ; 0.5 ; 0.142857 ; 0.333333 ; 0.210526 ; 0.0666667 ; 0.0930233 ; 0.057971 ; 0.111111 ; 0.205128 ; 0.0909091 ; 0.333333 ; 0.125 ; 0.142857 ; 0.142857 ; 0.2 ; 1 ; 0.266667 ; 0.333333 ; 0.25 ; 0.125 ; 0.125 ; 0.266667 ; 0.25 ; 0.111111 ; 0.125 ; 0.125 ; 0.0588235 ; 0.0588235 ; 0.0526316
java bn:00048043n ; 0.0625 ; 1 ; 0.0625 ; 0.056338 ; 0.213333 ; 0.248062 ; 0.210526 ; 0.213333 ; 0.213333 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.158416 ; 0.161616 ; 0.097561 ; 0.25 ; 0.0555556 ; 0.117647 ; 0.158416 ; 0.158416 ; 0.348837 ; 0.117647 ; 0.210526 ; 0.0963855 ; 0.0666667 ; 0.158416 ; 0.0625 ; 0.0163934 ; 0.258065 ; 0.213333 ; 0.117647 ; 0.248062 ; 0.210526 ; 0.117647 ; 0.117647 ; 0.216216 ; 0.117647 ; 0.0963855 ; 0.158416 ; 0.0322581 ; 0.213333 ; 0.0625 ; 0.117647 ; 0.0333333 ; 0.117647 ; 0.117647 ; 0.210526 ; 0.266667 ; 1 ; 0.117647 ; 0.0666667 ; 0.0333333 ; 0.0333333 ; 1 ; 0.0666667 ; 0.0666667 ; 0.0333333 ; 0.0333333 ; 0.0163934 ; 0.0333333 ; 0.0322581
file bn:00065682n ; 0.0909091 ; 0.117647 ; 0.2 ; 0.0689655 ; 0.205128 ; 0.0733945 ; 0.0434783 ; 0.205128 ; 0.205128 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.057971 ; 0.126984 ; 0.0952381 ; 0.0740741 ; 0.142857 ; 0.142857 ; 0.123077 ; 0.123077 ; 0.125 ; 0.142857 ; 0.0909091 ; 0.205128 ; 0.111111 ; 0.123077 ; 0.0434783 ; 0.0588235 ; 0.0769231 ; 0.205128 ; 0.0666667 ; 0.0733945 ; 0.2 ; 0.0666667 ; 0.333333 ; 0.210526 ; 0.0666667 ; 0.0930233 ; 0.057971 ; 0.111111 ; 0.205128 ; 0.0909091 ; 0.142857 ; 0.125 ; 0.142857 ; 0.0666667 ; 0.2 ; 0.333333 ; 0.117647 ; 1 ; 0.25 ; 0.125 ; 0.125 ; 0.117647 ; 0.25 ; 0.0526316 ; 0.125 ; 0.125 ; 0.125 ; 0.0588235 ; 0.111111
echo bn:03626250n ; 0.0909091 ; 0.0666667 ; 0.0909091 ; 0.0555556 ; 0.0606061 ; 0.039604 ; 0.0588235 ; 0.0606061 ; 0.0606061 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.0338983 ; 0.0350877 ; 0.0625 ; 0.0196078 ; 0.0526316 ; 0.111111 ; 0.0701754 ; 0.0701754 ; 0.0714286 ; 0.25 ; 0.125 ; 0.0606061 ; 0.333333 ; 0.0701754 ; 0.0909091 ; 0.2 ; 0.0204082 ; 0.129032 ; 0.111111 ; 0.039604 ; 0.125 ; 0.0526316 ; 0.25 ; 0.133333 ; 0.111111 ; 0.0606061 ; 0.0338983 ; 0.333333 ; 0.0606061 ; 0.2 ; 0.25 ; 0.5 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.25 ; 0.0666667 ; 0.25 ; 1 ; 0.2 ; 0.5 ; 0.0666667 ; 0.333333 ; 0.142857 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.142857
rue bn:00074595n ; 0.25 ; 0.0333333 ; 0.25 ; 0.0625 ; 0.0645161 ; 0.00980392 ; 0.030303 ; 0.0645161 ; 0.0645161 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0172414 ; 0.0363636 ; 0.0322581 ; 0.02 ; 0.125 ; 0.0588235 ; 0.0172414 ; 0.0172414 ; 0.0357143 ; 0.0588235 ; 0.030303 ; 0.0645161 ; 0.2 ; 0.0172414 ; 0.111111 ; 0.333333 ; 0.0208333 ; 0.03125 ; 0.0588235 ; 0.00980392 ; 0.0625 ; 0.125 ; 0.125 ; 0.0322581 ; 0.0588235 ; 0.03125 ; 0.0172414 ; 0.2 ; 0.0645161 ; 0.111111 ; 0.0588235 ; 0.333333 ; 0.0588235 ; 0.0588235 ; 0.0625 ; 0.125 ; 0.0333333 ; 0.125 ; 0.2 ; 1 ; 0.333333 ; 0.0333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
void bn:01326821n ; 0.111111 ; 0.0333333 ; 0.111111 ; 0.0625 ; 0.03125 ; 0.019802 ; 0.030303 ; 0.03125 ; 0.0645161 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.0350877 ; 0.0178571 ; 0.0666667 ; 0.02 ; 0.0588235 ; 0.125 ; 0.0350877 ; 0.0350877 ; 0.0357143 ; 0.125 ; 0.0625 ; 0.0645161 ; 0.2 ; 0.0350877 ; 0.111111 ; 0.333333 ; 0.0103093 ; 0.0645161 ; 0.125 ; 0.019802 ; 0.0625 ; 0.0588235 ; 0.125 ; 0.0666667 ; 0.0588235 ; 0.0645161 ; 0.0350877 ; 0.5 ; 0.03125 ; 0.25 ; 0.125 ; 1 ; 0.125 ; 0.125 ; 0.0625 ; 0.125 ; 0.0333333 ; 0.125 ; 0.5 ; 0.333333 ; 1 ; 0.0333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
classe bn:03608262n ; 0.0625 ; 1 ; 0.0625 ; 0.056338 ; 0.213333 ; 0.248062 ; 0.210526 ; 0.213333 ; 0.213333 ; 0.0625 ; 0.0625 ; 0.133333 ; 0.0625 ; 0.0625 ; 0.158416 ; 0.161616 ; 0.097561 ; 0.25 ; 0.0555556 ; 0.117647 ; 0.158416 ; 0.158416 ; 0.348837 ; 0.117647 ; 0.210526 ; 0.0963855 ; 0.0666667 ; 0.158416 ; 0.0625 ; 0.0163934 ; 0.258065 ; 0.213333 ; 0.117647 ; 0.248062 ; 0.210526 ; 0.117647 ; 0.117647 ; 0.216216 ; 0.117647 ; 0.0963855 ; 0.158416 ; 0.0322581 ; 0.213333 ; 0.0625 ; 0.117647 ; 0.0333333 ; 0.117647 ; 0.117647 ; 0.210526 ; 0.266667 ; 1 ; 0.117647 ; 0.0666667 ; 0.0333333 ; 0.0333333 ; 1 ; 0.0666667 ; 0.0666667 ; 0.0333333 ; 0.0333333 ; 0.0163934 ; 0.0333333 ; 0.0322581
exception bn:00032118n ; 0.2 ; 0.0666667 ; 0.2 ; 0.0555556 ; 0.0606061 ; 0.0194175 ; 0.0285714 ; 0.0606061 ; 0.129032 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.0338983 ; 0.0350877 ; 0.0625 ; 0.04 ; 0.111111 ; 0.111111 ; 0.0338983 ; 0.0338983 ; 0.0714286 ; 0.111111 ; 0.0588235 ; 0.129032 ; 0.142857 ; 0.0338983 ; 0.0909091 ; 0.2 ; 0.0204082 ; 0.0606061 ; 0.111111 ; 0.0194175 ; 0.125 ; 0.111111 ; 0.25 ; 0.0625 ; 0.0526316 ; 0.0606061 ; 0.0338983 ; 0.333333 ; 0.0606061 ; 0.2 ; 0.111111 ; 0.5 ; 0.111111 ; 0.111111 ; 0.125 ; 0.25 ; 0.0666667 ; 0.25 ; 0.333333 ; 0.5 ; 0.5 ; 0.0666667 ; 1 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857
wamp bn:01708928n ; 0.0909091 ; 0.0666667 ; 0.2 ; 0.117647 ; 0.129032 ; 0.039604 ; 0.125 ; 0.129032 ; 0.129032 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0701754 ; 0.0350877 ; 0.0625 ; 0.04 ; 0.111111 ; 0.111111 ; 0.0701754 ; 0.0701754 ; 0.0344828 ; 0.111111 ; 0.125 ; 0.0294118 ; 0.333333 ; 0.0701754 ; 0.5 ; 0.2 ; 0.0416667 ; 0.129032 ; 0.111111 ; 0.039604 ; 0.0588235 ; 0.111111 ; 0.0526316 ; 0.0625 ; 0.111111 ; 0.129032 ; 0.0701754 ; 0.142857 ; 0.129032 ; 0.2 ; 0.111111 ; 0.2 ; 0.25 ; 0.25 ; 0.0588235 ; 0.111111 ; 0.0666667 ; 0.0526316 ; 0.142857 ; 0.2 ; 0.2 ; 0.0666667 ; 0.142857 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.333333
symfony bn:02798620n ; 0.111111 ; 0.0333333 ; 0.111111 ; 0.0625 ; 0.0645161 ; 0.019802 ; 0.0625 ; 0.0645161 ; 0.03125 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.111111 ; 0.0172414 ; 0.0363636 ; 0.0322581 ; 0.00990099 ; 0.0588235 ; 0.0588235 ; 0.0350877 ; 0.0350877 ; 0.0357143 ; 0.125 ; 0.0625 ; 0.03125 ; 0.5 ; 0.0350877 ; 0.111111 ; 0.333333 ; 0.0208333 ; 0.0645161 ; 0.0588235 ; 0.019802 ; 0.0625 ; 0.0588235 ; 0.125 ; 0.0666667 ; 0.125 ; 0.03125 ; 0.0172414 ; 0.2 ; 0.0645161 ; 0.111111 ; 0.125 ; 0.333333 ; 0.0588235 ; 0.0588235 ; 0.030303 ; 0.125 ; 0.0333333 ; 0.125 ; 0.5 ; 0.333333 ; 0.333333 ; 0.0333333 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2
doctype bn:15839327n ; 0.111111 ; 0.0333333 ; 0.111111 ; 0.0625 ; 0.0645161 ; 0.019802 ; 0.0625 ; 0.0645161 ; 0.03125 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.111111 ; 0.0172414 ; 0.0363636 ; 0.0322581 ; 0.00990099 ; 0.0588235 ; 0.0588235 ; 0.0350877 ; 0.0350877 ; 0.0357143 ; 0.125 ; 0.0625 ; 0.03125 ; 0.5 ; 0.0350877 ; 0.111111 ; 0.333333 ; 0.0208333 ; 0.0645161 ; 0.0588235 ; 0.019802 ; 0.0625 ; 0.0588235 ; 0.125 ; 0.0666667 ; 0.125 ; 0.03125 ; 0.0172414 ; 0.2 ; 0.0645161 ; 0.111111 ; 0.125 ; 0.333333 ; 0.0588235 ; 0.0588235 ; 0.030303 ; 0.125 ; 0.0333333 ; 0.125 ; 0.5 ; 0.333333 ; 0.333333 ; 0.0333333 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2
environnement de développement bn:00748100n ; 0.111111 ; 0.0163934 ; 0.25 ; 0.133333 ; 0.0645161 ; 0.019802 ; 0.030303 ; 0.0645161 ; 0.0645161 ; 0.25 ; 0.25 ; 0.111111 ; 0.25 ; 0.25 ; 0.0350877 ; 0.0363636 ; 0.0666667 ; 0.02 ; 0.125 ; 0.125 ; 0.0350877 ; 0.0350877 ; 0.0175439 ; 0.0588235 ; 0.030303 ; 0.0645161 ; 0.2 ; 0.0350877 ; 0.111111 ; 0.333333 ; 0.0208333 ; 0.0645161 ; 0.0588235 ; 0.019802 ; 0.030303 ; 0.0588235 ; 0.0588235 ; 0.0666667 ; 0.0588235 ; 0.0645161 ; 0.0350877 ; 0.2 ; 0.0645161 ; 0.111111 ; 0.0588235 ; 0.333333 ; 0.125 ; 0.0588235 ; 0.0625 ; 0.0588235 ; 0.0163934 ; 0.125 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0163934 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5
realisateur bn:00027369n ; 0.111111 ; 0.0333333 ; 0.25 ; 0.133333 ; 0.0645161 ; 0.019802 ; 0.0625 ; 0.0645161 ; 0.0645161 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.111111 ; 0.0350877 ; 0.0178571 ; 0.0666667 ; 0.02 ; 0.0588235 ; 0.0588235 ; 0.0350877 ; 0.0350877 ; 0.0357143 ; 0.125 ; 0.0625 ; 0.03125 ; 0.5 ; 0.0350877 ; 0.25 ; 0.333333 ; 0.0208333 ; 0.0645161 ; 0.0588235 ; 0.019802 ; 0.030303 ; 0.0588235 ; 0.0588235 ; 0.0322581 ; 0.125 ; 0.0645161 ; 0.0350877 ; 0.2 ; 0.0645161 ; 0.25 ; 0.0588235 ; 0.333333 ; 0.125 ; 0.125 ; 0.030303 ; 0.0588235 ; 0.0333333 ; 0.0588235 ; 0.2 ; 0.333333 ; 0.333333 ; 0.0333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5
informatique bn:00100175a ; 0.0909091 ; 0.0322581 ; 0.5 ; 0.266667 ; 0.129032 ; 0.039604 ; 0.0588235 ; 0.129032 ; 0.129032 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.0701754 ; 0.0350877 ; 0.133333 ; 0.04 ; 0.111111 ; 0.111111 ; 0.0701754 ; 0.0701754 ; 0.0344828 ; 0.111111 ; 0.0588235 ; 0.0606061 ; 0.333333 ; 0.0701754 ; 0.2 ; 0.2 ; 0.0416667 ; 0.129032 ; 0.0526316 ; 0.039604 ; 0.0285714 ; 0.0526316 ; 0.0526316 ; 0.0625 ; 0.111111 ; 0.129032 ; 0.0701754 ; 0.142857 ; 0.129032 ; 0.2 ; 0.0526316 ; 0.2 ; 0.25 ; 0.111111 ; 0.0588235 ; 0.0526316 ; 0.0322581 ; 0.111111 ; 0.142857 ; 0.2 ; 0.2 ; 0.0322581 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 1
