X ; navigateur bn:00013447n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; commentaire bn:00020978n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; sélectionner bn:00084931v ; langage bn:00049910n ; zones bn:00005513n ; utilisateur bn:00079373n ; personne bn:00046516n ; méthode post bn:00045088n ; passwd bn:14874750n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; types bn:00016413n ; session bn:03751534n ; langage de script bn:01431715n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; chaîne bn:00074685n ; helvetica bn:00043646n ; web bn:00080772n ; foreach bn:03463379n ; timestamp bn:03603649n ; pouvoir bn:00084451v ; bienvenue bn:00080852n ; paris bn:00015540n ; france bn:00036202n ; programmation web bn:03446093n ; interpréter bn:00089840v ; opérateurs bn:16281811n ; cle bn:04756252n ; classes bn:03608262n ; header bn:00043309n ; null bn:15898583n ; echo bn:03626250n ; positionnement bn:00030615n ; exe bn:14503132n ; rue bn:00074595n ; thomas bn:00005240n ; mysqli bn:01438356n ; transaction bn:01403911n ; exception bn:00032118n ; head bn:02338897n ; wamp bn:01708928n ; symfony bn:02798620n ; inverse bn:00056301n ; info bn:00046698n ; realisateur bn:00027369n ; généralité bn:00041249n ; autre bn:00108013a
transaction bn:01403911n ; 0.0289855 ; 0.030303 ; 0.0655738 ; 0.0470588 ; 0.0454545 ; 0.0277778 ; 0.0434783 ; 0.0444444 ; 0.0516129 ; 0.0610687 ; 0.0392157 ; 0.0382775 ; 0.142857 ; 0.135593 ; 0.0769231 ; 0.047619 ; 0.0816327 ; 0.017094 ; 0.2 ; 0.0526316 ; 0.2 ; 0.102564 ; 0.0987654 ; 0.0754717 ; 0.0408163 ; 0.0298507 ; 0.222222 ; 0.0909091 ; 0.1 ; 0.111111 ; 0.0952381 ; 0.0567376 ; 0.133333 ; 0.25 ; 0.0714286 ; 0.142857 ; 0.0666667 ; 0.0909091 ; 0.153846 ; 0.142857 ; 0.0298507 ; 0.0720721 ; 0.0888889 ; 0.0526316 ; 0.0909091 ; 0.111111 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.142857 ; 1 ; 0.2 ; 0.142857 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.111111
exception bn:00032118n ; 0.00729927 ; 0.0344828 ; 0.0701754 ; 0.0240964 ; 0.0114943 ; 0.0645161 ; 0.0526316 ; 0.0487805 ; 0.0127389 ; 0.0150376 ; 0.0208333 ; 0.00947867 ; 0.2 ; 0.0327869 ; 0.0434783 ; 0.0238095 ; 0.0208333 ; 0.0176991 ; 0.142857 ; 0.0263158 ; 0.333333 ; 0.0263158 ; 0.0240964 ; 0.0192308 ; 0.0217391 ; 0.031746 ; 0.125 ; 0.142857 ; 0.0588235 ; 0.2 ; 0.05 ; 0.013986 ; 0.0714286 ; 0.5 ; 0.222222 ; 0.2 ; 0.0909091 ; 0.0526316 ; 0.1 ; 0.0909091 ; 0.015625 ; 0.036036 ; 0.097561 ; 0.0285714 ; 0.111111 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 1 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
head bn:02338897n ; 0.0289855 ; 0.0625 ; 0.031746 ; 0.0470588 ; 0.0454545 ; 0.0571429 ; 0.2 ; 0.0930233 ; 0.0251572 ; 0.0296296 ; 0.0816327 ; 0.0382775 ; 0.142857 ; 0.0307692 ; 0.0769231 ; 0.047619 ; 0.0816327 ; 0.017094 ; 0.2 ; 0.0526316 ; 0.0909091 ; 0.0487805 ; 0.0470588 ; 0.0754717 ; 0.0851064 ; 0.0615385 ; 0.222222 ; 0.2 ; 0.1 ; 0.111111 ; 0.0454545 ; 0.0567376 ; 0.133333 ; 0.111111 ; 0.153846 ; 0.0666667 ; 0.0666667 ; 0.5 ; 0.153846 ; 0.0666667 ; 0.0298507 ; 0.0347826 ; 0.0425532 ; 0.0526316 ; 0.0909091 ; 0.111111 ; 0.0666667 ; 0.142857 ; 0.25 ; 0.142857 ; 0.142857 ; 0.0909091 ; 1 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.25
wamp bn:01708928n ; 0.0597015 ; 0.0625 ; 0.031746 ; 0.0470588 ; 0.0454545 ; 0.0277778 ; 0.0909091 ; 0.0444444 ; 0.0516129 ; 0.0610687 ; 0.0392157 ; 0.0187793 ; 0.0666667 ; 0.135593 ; 0.0769231 ; 0.047619 ; 0.177778 ; 0.0347826 ; 0.2 ; 0.025641 ; 0.0909091 ; 0.102564 ; 0.0470588 ; 0.0754717 ; 0.0408163 ; 0.0298507 ; 0.1 ; 0.0909091 ; 0.1 ; 0.111111 ; 0.0454545 ; 0.0567376 ; 0.0625 ; 0.111111 ; 0.0714286 ; 0.142857 ; 0.0666667 ; 0.0909091 ; 0.153846 ; 0.142857 ; 0.0615385 ; 0.0720721 ; 0.0888889 ; 0.111111 ; 0.0434783 ; 0.111111 ; 0.0666667 ; 0.0666667 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.0909091 ; 0.142857 ; 1 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.111111
symfony bn:02798620n ; 0.00740741 ; 0.037037 ; 0.0350877 ; 0.0246914 ; 0.0238095 ; 0.0333333 ; 0.0588235 ; 0.025 ; 0.0129032 ; 0.00757576 ; 0.0444444 ; 0.00956938 ; 0.111111 ; 0.0338983 ; 0.047619 ; 0.00591716 ; 0.0217391 ; 0.018018 ; 0.2 ; 0.0131579 ; 0.5 ; 0.0277778 ; 0.0246914 ; 0.0408163 ; 0.0465116 ; 0.016129 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.333333 ; 0.0526316 ; 0.00704225 ; 0.037037 ; 0.333333 ; 0.125 ; 0.111111 ; 0.25 ; 0.0588235 ; 0.125 ; 0.111111 ; 0.0327869 ; 0.018018 ; 0.0238095 ; 0.0625 ; 0.125 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
inverse bn:00056301n ; 0.00740741 ; 0.037037 ; 0.0350877 ; 0.0246914 ; 0.0238095 ; 0.0333333 ; 0.0588235 ; 0.025 ; 0.0129032 ; 0.00757576 ; 0.0444444 ; 0.00956938 ; 0.111111 ; 0.0338983 ; 0.047619 ; 0.00591716 ; 0.0217391 ; 0.018018 ; 0.2 ; 0.0131579 ; 0.5 ; 0.0277778 ; 0.0246914 ; 0.0408163 ; 0.0465116 ; 0.016129 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.333333 ; 0.0526316 ; 0.00704225 ; 0.037037 ; 0.333333 ; 0.125 ; 0.111111 ; 0.25 ; 0.0588235 ; 0.125 ; 0.111111 ; 0.0327869 ; 0.018018 ; 0.0238095 ; 0.0625 ; 0.125 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
info bn:00046698n ; 0.00740741 ; 0.037037 ; 0.0350877 ; 0.0246914 ; 0.0238095 ; 0.0333333 ; 0.0588235 ; 0.025 ; 0.0129032 ; 0.00757576 ; 0.0444444 ; 0.00956938 ; 0.111111 ; 0.0338983 ; 0.047619 ; 0.00591716 ; 0.0217391 ; 0.018018 ; 0.2 ; 0.0131579 ; 0.5 ; 0.0277778 ; 0.0246914 ; 0.0408163 ; 0.0465116 ; 0.016129 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.333333 ; 0.0526316 ; 0.00704225 ; 0.037037 ; 0.333333 ; 0.125 ; 0.111111 ; 0.25 ; 0.0588235 ; 0.125 ; 0.111111 ; 0.0327869 ; 0.018018 ; 0.0238095 ; 0.0625 ; 0.125 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
realisateur bn:00027369n ; 0.0149254 ; 0.037037 ; 0.0172414 ; 0.0246914 ; 0.0238095 ; 0.0333333 ; 0.0588235 ; 0.0512821 ; 0.0129032 ; 0.0152672 ; 0.0444444 ; 0.00956938 ; 0.111111 ; 0.0338983 ; 0.047619 ; 0.0119048 ; 0.0444444 ; 0.00892857 ; 0.5 ; 0.0131579 ; 0.2 ; 0.0571429 ; 0.0246914 ; 0.0408163 ; 0.0465116 ; 0.016129 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.333333 ; 0.025641 ; 0.0141844 ; 0.0769231 ; 0.333333 ; 0.125 ; 0.111111 ; 0.111111 ; 0.125 ; 0.285714 ; 0.111111 ; 0.016129 ; 0.018018 ; 0.0238095 ; 0.0625 ; 0.0588235 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.25 ; 0.25 ; 0.2 ; 0.25 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
généralité bn:00041249n ; 0.0149254 ; 0.0769231 ; 0.0172414 ; 0.0121951 ; 0.0117647 ; 0.0689655 ; 0.125 ; 0.0512821 ; 0.00641026 ; 0.0152672 ; 0.0217391 ; 0.00956938 ; 0.25 ; 0.0166667 ; 0.1 ; 0.0119048 ; 0.0217391 ; 0.018018 ; 0.2 ; 0.0131579 ; 0.2 ; 0.0277778 ; 0.0246914 ; 0.0408163 ; 0.0465116 ; 0.0327869 ; 0.142857 ; 0.5 ; 0.0666667 ; 0.333333 ; 0.0526316 ; 0.0141844 ; 0.0769231 ; 0.333333 ; 0.285714 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.111111 ; 0.016129 ; 0.018018 ; 0.0487805 ; 0.030303 ; 0.125 ; 0.333333 ; 0.111111 ; 0.25 ; 1 ; 0.111111 ; 0.111111 ; 0.2 ; 0.25 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
autre bn:00108013a ; 0.0149254 ; 0.0769231 ; 0.0172414 ; 0.0121951 ; 0.0117647 ; 0.0689655 ; 0.125 ; 0.0512821 ; 0.00641026 ; 0.0152672 ; 0.0217391 ; 0.00956938 ; 0.25 ; 0.0166667 ; 0.1 ; 0.0119048 ; 0.0217391 ; 0.018018 ; 0.2 ; 0.0131579 ; 0.2 ; 0.0277778 ; 0.0246914 ; 0.0408163 ; 0.0465116 ; 0.0327869 ; 0.142857 ; 0.5 ; 0.0666667 ; 0.333333 ; 0.0526316 ; 0.0141844 ; 0.0769231 ; 0.333333 ; 0.285714 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.111111 ; 0.016129 ; 0.018018 ; 0.0487805 ; 0.030303 ; 0.125 ; 0.333333 ; 0.111111 ; 0.25 ; 1 ; 0.111111 ; 0.111111 ; 0.2 ; 0.25 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1
